id	de	en	hu	
Please keep filesize under 50Mb	Bitte begrenzen Sie die Dateigröße auf 50Mb.	Please keep filesize under 50Mb	Kérjük, tartd a fájlméret 50MB alatt.	
We don't support this file format. Please choose an image in JPG, GIF or PNG	Nicht unterstütztes Dateiformat. Bitte verwenden Sie JPG, GIF oder PNG-Dateien.	We don't support this file format. Please choose an image in JPG, GIF or PNG	Ez a fájlformátum nem támogatott. Kérjük válassz JPG, GIF vagy PNG formátumot.	
This file not exists	Nicht vorhandene Datei.	This file not exists	Ez a fájl nem létezik	
Bad preload filename	Nicht vorhandener Dateiname.	Bad preload filename	Hibás fájlnév	
Image	Bild	Image	Kép (Image)	
This field is required	Eintrag erforderlich	This field is required	Mező kitöltése kötelező.	
Indoors API key	Indoo.rs API-Schlüssel	Indoors API key	Beltéri API-kulcs	
Indoors building name	Indoo.rs Gebäudename	Indoors building name	Beltéri épület neve	
Name	Name	Name	Név	
Field Name	Bezeichnung	Field Name	Mező neve	
Default Value	Standard	Default Value	Alapértelmezett érték	
Enter text...	Texteingabe...	Enter text...	Írd be a szöveget...	
Email	E-Mail	Email	Email	
Password	Passwort	Password	Jelszó	
Please enter email and password	Bitte geben Sie E-Mail Adresse und Passwort ein.	Please enter email and password	Kérjük, add meg az email címet és a jelszót	
Please enter a correct %(username)s and password. Note that both fields may be case-sensitive.	Bitte geben %(username)s und Passwort ein. Groß- und Kleinschreibung beachten.	Please enter a correct %(username)s and password. Note that both fields may be case-sensitive.	Kérjük, írd be a helyes %(username)s és a jelszót. Vedd figyelembe, hogy lehetnek kis-és nagybetűk.	
This account is inactive.	Ungültiger Benutzername.	This account is inactive.	Ez a fiók nem aktív.	
There are no application associated with your account. Please contact administrator to fix this problem.	Es gibt keine mit Ihrem Konto verbundenen Anwendungen. Bitte kontaktieren Sie den Administrator.	There are no application associated with your account. Please contact administrator to fix this problem.	A fiókodhoz nincsen alkalmazás rendelve. Kérjük, fordulj a rendszergazdához a probléma megoldásához.	
Major	Major	Major	Major	
Minor	Minor	Minor	Minor	
Navigation ID	Navigation-Nr	Navigation ID	Navigációs ID	
Start Date		Start Date	Kezdő dátum	
End Date		End Date	Vége dátum	
Keywords	Suchbegriff	Keywords	Kulcsszavak	
Please enter comma separated keywords	Suchbegriffe, bitte durch Komma getrennt einfügen.	Please enter comma separated keywords	Kérjük, írd be vesszővel elválasztott kulcsszavakat	
Category	Kategorie	Category	Kategória	
Beacon	Beacon	Beacon	Beacon	
Points	Points	Points	Points	
Audio	Audio	Audio	Audió	
Audio for kids	Audio für Kinder	Audio for kids	Audió gyerekeknek	
Audio for specialists	Audio für Spezialisten	Audio for specialists	Audió szakembereknek	
Video	Video	Video	Videó	
Video for kids	Video für Kinder	Video for kids	Videó gyerekeknek	
Video for specialists	Video für Spezialisten	Video for specialists	Videó szakembereknek	
Set of Attributes	Attributesatz	Set of Attributes	Attribútok szetje	
Galleries	Galerien	Galleries	Galériák	
Exhibitions	Sonderausstellungen	Exhibitions	Kiállítások	
Exhibition	Sonderausstellungen	Exhibition	Kiállítás	
Gallery	Galerie	Gallery	Galéria	
Please upload at least one image	Bitte laden Sie ein Bild hoch.	Please upload at least one image	Kérjük, legalább egy képet töltsél fel.	
ID Number	ID-Nummer	ID Number	Azonosító szám	
Icon	Symbol	Icon	Ikon	
Position	Standort	Position	Pozíció	
Voucher	Gutschein	Voucher	Utalvány	
New password	Neues Passwort	New password	Új jelszó	
E-mail	E-Mail	E-mail	Email	
Please enter a valid email address	Bitte geben Sie eine gültige E-Mail-Adresse ein	Please enter a valid email address	Írj be egy email címet	
Date valid to	Gültig bis	Date valid to	Meddig érvényes	
Place	Standort	Place	Helység	
Here is what you can do:	Was Sie hier tun können:	Here is what you can do:	Ez az, amit tehetsz.	
Manage your gallery details	Verwalten der Galerie informationen.	Manage your gallery details	A Galéria adatok kezelése	
Add, edit or remove beacons	Hinzufügen, bearbeiten oder löschen der Beacons.	Add, edit or remove beacons	Beacon hozzáadása, szerkesztése vagy eltávolítása 	
Password Recovery	Passwort zurücksetzen	Password Recovery	Jelszó visszaállítás	
Enter your email address to reset your password. You may need to check your spam folder or unblock no-reply@xponia.com	Geben Sie Ihre E-Mail-Adresse, um Ihr Passwort zurückzusetzen. Bitte prüfen Sie auch Ihren Spam-Ordner oder entsperren Sie no-reply@xponia.com	Enter your email address to reset your password. You may need to check your spam folder or unblock no-reply@xponia.com	"Add meg e-mail címedet a jelszó visszaállításához. Lehet, hogy nézd meg a spamt vagy oldd fel a  ""no-reply@xponia.com"""	
Submit	Senden	Submit	Beküld	
About the Gallery	Details zum Galerie	About the Gallery	A Galéria adatok kezelése	
Image editing. Selected area will be shown in mobile application	Bildbearbeitung. Das Vorschaubild ist für den Besucher in der App sichtbar.	Image editing. Selected area will be shown in mobile application	Képszerkesztő. A kijelölt felület jelenik meg a mobil alkalmazáson.	
Edit Information		Edit Information	Információ szerkesztése	
Name...	Name…	Name...	Név...	
Description...	Beschreibung...	Description...	Leírás...	
Beacon udid...	Beacon UDID	Beacon udid...	Beacon udid...	
Feedback URL...	Feedback URL	Feedback URL...	Feedback URL-Link	
Currency		Currency	Pénznem	
Pages about Gallery		Pages about Gallery	A Galéria adatok kezelése	
New	Neu	New	Új	
Edit	Bearbeiten	Edit	Szerkesztés	
DESCRIPTION	Beschreibung	DESCRIPTION	LEÍRÁS	
Are you sure?	Sind Sie sicher?	Are you sure?	Biztosan szeretnéd?	
Delete	Löschen	Delete	Törlés	
Page	Seite	Page	Oldal	
is published	veröffentlicht	is published	Közzétett	
is not published	ist nicht veröffentlicht	is not published	Nem közétett	
Save	Speichern	Save	Mentés	
Reset	Zurücksetzen	Reset	Visszaállítás	
Exhibits	Exponate	Exhibits	Tárgyak	
Point Attribute Sets	Attributesatz der Exponate	Point Attribute Sets	Point Attribútomok szetje	
Add Attribute Set	Attributesatz hinzufügen	Add Attribute Set	Új attribútomok szetje	
Set Name...	Name Attributesatz...	Set Name...	Szet neve...	
Field Type	Feldtyp	Field Type	Mező típusa	
Add	Hinzufügen	Add	Hozzátesz	
Field	Bezeichnung	Field	Mező	
Add Attribute	Attribut hinzufügen	Add Attribute	Új attribútom	
Remove Attribute	Attribut löschen	Remove Attribute	Attríbutom törlése	
Exhibit Attribute Sets	Attributesatz der Exponate	Exhibit Attribute Sets	Tárgyak attribútomok szetje	
New Attribute Set	Neuer Attributsatz	New Attribute Set	Új attribútomok szetje	
Edit Attribute Set	Attributsatz bearbeiten	Edit Attribute Set	Attribútomok módosítása	
