id	de	en	hu	
welcome_to_museum_message	Willkommen!	Welcome!		
gallery	Shop	shop		
galleries_first_plural_form	Shops	shops		
galleries_second_plural_form	Shops	shops		
galleries_general_plural_form	Shops & Marken	Shops & Brands		
levels	Kategorien	Categories		
exhibit	produkt	product		
exhibits_first_plural_form	produkten	products		
exhibits_second_plural_form	produkten	products		
exhibits_general_plural_form	produkte	products		
Exhibition	Angebote	Promotion		
exhibitions_general_plural_form	Angebote & Rabatte	Promotions		
likes_exhibitions_general_plural_form	Angebote & Rabatte	promotions		
All Guided Tours	Alle Shopping Touren	All Shopping Tours		
Featured Guided Tours	Shopping Touren	Shopping Tours		
Guided Tour	Shopping Touren	Shopping Tour		
Guided Tours	Shopping Touren	Shopping Tours		
TOURS	TOUREN	TOURS		
UPCOMING	DEMNACHST			
No Featured Guided Tours	Aktuell gibt es keine Shopping Touren	Currently there are no Featured Shopping Tours		
AUTOPLAY_ENABLED_KEY	Starte Audio, sobald in der Nähe eines Point of Interest.	Start playing audio as soon as you approach a point of interest in a Shopping Tour.		
facilities_general_plural_form	essen & einrichtungen	Food & Facilities		
facility_categories_title	Kategorien	Categories		
About the museum	Über uns	About Us		
exhibitions_tutorial_info	Finden Sie aktuelle und kommende Angebote & Rabatte - es gibt viel zu sehen.	See ongoing and future promotions - there is a lot to see.		
galleries_tutorial_info	Entdecken Sie unsere Shops und Marken und lassen Sie sich zu Produkten, Rabatten und Services führen und verführen!	Explore our shops and brands and find out about our amazing products, promotions and services.		
guided_tours_tutorial_info	Die Navigation unserer App führt sie zu den Shops & Marken und dem Service & Entertainment in unserem Center.	Our app navigates you through our store to guide you to our shops, brands and entertainment services.		
Ready for indoor navigation!	Alle Dienste sind bereit - Viel Spass mit der App.	All services are on and available to use.		
All services are on and available to use.				
Quiz	Gewinnspiel	Contest		
Quizes	Gewinnspiel	Contest		
SHARE_THE_APP_KEY	Laden Sie %@ um einen neuartigen zu erleben \n%@	Download %@ to experience your visit in a whole new way\n%@		
START THE TOUR	SHOPPING	START SHOPPING		
allee_exhibition_product	Angebot	promotion		
allee_exhibition_products_first_plural_form	Angebote	promotions		
allee_exhibition_products_second_plural_form	Angebote	promotions		
